Адрес,Район,Количество комнат,Площадь м2,Этаж,Балкон,Высота потолков м,Санузел,Окна,Ремонт,Вид сделки,Тип дома,Количество этажей,Лифт,Год постройки,Дата публикации,Стоимость
"ул. Современная, жилые дома",Октябрьский район,1,31,6,балкон,2.8,совмещенный,на улицу,NaN,возможна ипотека,монолитный,9,1,NaN,4 апреля в 16:46,4700000
"Республика Бурятия, Улан-Удэ, Ермаковская ул., 39",Советский район,4,64,3,балкон,2.5,раздельный,"на улицу, на солнечную сторону",косметический,возможна ипотека,кирпичный,5,0,1972,22 марта в 15:01,7100000
"Республика Бурятия, Улан-Удэ, Ключевская ул., 60А/2",Октябрьский район,1,36.5,12,балкон,NaN,совмещенный,NaN,косметический,возможна ипотека,монолитно-кирпичный,12,1,2012,12 марта в 12:07,6000000
"Республика Бурятия, Улан-Удэ, ул. Тулаева, 136",Октябрьский район,3,65.6,4,балкон,NaN,раздельный,NaN,косметический,возможна ипотека,кирпичный,5,0,NaN,17 марта в 15:26,6100000
"Республика Бурятия, Улан-Удэ, ул. Трубачеева, 144",Октябрьский район,4,63,4,балкон,2.5,раздельный,на улицу,косметический,возможна ипотека,кирпичный,5,NaN,1970,17 марта в 16:15,7399999
"Республика Бурятия, Улан-Удэ, мкр-н Зелёный, посёлок Старый Зелёный, 13",Железнодорожный район,3,56.9,1,NaN,2.5,совмещенный,"во двор, на улицу",косметический,возможна ипотека,деревянный,1,0,1980,21 марта в 19:03,3900000
"Республика Бурятия, Улан-Удэ, ул. Гагарина, 20",Железнодорожный район,2,42.6,2,балкон,NaN,совмещенный,во двор,косметический,возможна ипотека,кирпичный,5,NaN,1966,14 марта в 16:12,5400000
"Республика Бурятия, Улан-Удэ, Ключевская ул., 90Б",Октябрьский район,3,77.4,4,лоджия,NaN,раздельный,"во двор, на улицу, на солнечную сторону",требует ремонта,возможна ипотека,монолитно-кирпичный,12,1,2015,14 марта в 22:50,8500000
"Республика Бурятия, Улан-Удэ, 104-й квартал, 1/1",Октябрьский район,1,33.7,1,балкон,NaN,совмещенный,NaN,косметический,возможна ипотека,монолитно-кирпичный,5,0,NaN,20 марта в 19:28,4900000
"Республика Бурятия, Улан-Удэ, мкр-н 140А, 13",Октябрьский район,1,38.5,2,лоджия,NaN,совмещенный,во двор,требует ремонта,возможна ипотека,монолитный,5,0,NaN,20 марта в 12:09,4500000
"Республика Бурятия, Улан-Удэ, мкр-н Вагжанова, Дивизионная ул. 1-й участок, 532",Советский район,2,43.8,1,NaN,2.5,совмещенный,во двор,косметический,возможна ипотека,панельный,4,NaN,1975,20 марта в 07:31,3650000
"мкр. 106-й, стр. 2, корп. 1",Октябрьский район,1,40.9,5,балкон,NaN,совмещенный,во двор,NaN,возможна ипотека,монолитно-кирпичный,9,NaN,NaN,20 марта в 09:23,4853000
"Республика Бурятия, Улан-Удэ, 112-й мкр-н, 23",Октябрьский район,1,29.4,3,балкон,NaN,совмещенный,"во двор, на солнечную сторону",косметический,NaN,кирпичный,5,0,2011,10 марта в 20:51,5000000
"Республика Бурятия, Улан-Удэ, ул. Революции 1905 года, 38",Железнодорожный район,4,100.6,3,лоджия,2.7,раздельный,NaN,косметический,NaN,кирпичный,5,0,2002,19 марта в 17:39,13250000
"Республика Бурятия, Улан-Удэ, ул. Цивилева, 27",Железнодорожный район,2,45,3,балкон,2.7,раздельный,"во двор, на солнечную сторону",евро,NaN,кирпичный,5,0,1981,19 марта в 17:37,7090000
"Республика Бурятия, Улан-Удэ, мкр-н Батарейка, Удинская ул., 28А",Советский район,2,37,1,NaN,NaN,совмещенный,во двор,косметический,возможна ипотека,кирпичный,3,NaN,1961,14 марта в 22:02,4500000
