Адрес,Район,Количество комнат,Площадь м2,Этаж,Балкон,Высота потолков м,Санузел,Окна,Ремонт,Вид сделки,Тип дома,Количество этажей,Лифт,Год постройки,Дата публикации,Стоимость
"Республика Бурятия, Улан-Удэ, Краснофлотская ул., 42",Октябрьский район,3,59.6,1,балкон,2.6,совмещенный,на улицу,евро,NaN,панельный,5,NaN,NaN,28 марта в 19:07,7100000
"Республика Бурятия, Улан-Удэ, ул. Павлова, 21",Октябрьский район,2,50,2,NaN,3 м,совмещенный,во двор,косметический,возможна ипотека,кирпичный,3,NaN,NaN,25 марта в 20:15,5700000
"Республика Бурятия, Улан-Удэ, ул. Революции 1905 года, 68",Железнодорожный район,студия,15,4,балкон,NaN,совмещенный,во двор,косметический,NaN,кирпичный,4,NaN,NaN,24 марта в 14:53,2200000
"Республика Бурятия, Улан-Удэ, ул. Рылеева, 5",Железнодорожный район,2,42,1,NaN,2.5,совмещенный,во двор,требует ремонта,NaN,кирпичный,5,0,1969,21 марта в 19:02,4700000
"мкр. 102, ул. Ринчино, стр. 1",Октябрьский район,2,50.8,12,лоджия,NaN,совмещенный,"во двор, на солнечную сторону",требует ремонта,возможна ипотека,монолитно-кирпичный,16,1,NaN,26 марта в 07:49,5700000
"мкр. 148-А, стр. 2",Октябрьский район,студия,39.4,15,лоджия,3 м,раздельный,"на улицу, на солнечную сторону",требует ремонта,NaN,монолитный,16,1,NaN,28 марта в 00:07,2956000
"Республика Бурятия, Улан-Удэ, ул. Трубачеева, 144",Октябрьский район,3,57,3,балкон,NaN,совмещенный,"во двор, на улицу",евро,возможна ипотека,кирпичный,5,NaN,1972,25 марта в 21:46,6600000
"Республика Бурятия, Улан-Удэ, Солнечная ул., 10",Октябрьский район,2,45.4,2,балкон,2.5,совмещенный,во двор,евро,возможна ипотека,панельный,5,0,1968,26 марта в 14:15,6500000
"Республика Бурятия, Улан-Удэ, Солнечная ул., 28",Октябрьский район,1,35,3,лоджия,NaN,совмещенный,на улицу,евро,возможна ипотека,кирпичный,9,1,2014,14 марта в 17:42,6200000
"Республика Бурятия, Улан-Удэ, Пионерская ул., 17",Железнодорожный район,3,81,8,"балкон, лоджия",2.9,раздельный,"во двор, на улицу",евро,NaN,монолитно-кирпичный,9,1,2014,20 марта в 15:52,11500000
"Республика Бурятия, Улан-Удэ, ул. Красной Звезды, 40",Октябрьский район,1,37.4,1,балкон,NaN,совмещенный,во двор,евро,NaN,кирпичный,3,NaN,1987,27 марта в 14:09,3640000
"Республика Бурятия, Улан-Удэ, ул. Буйко, 21А",Железнодорожный район,2,41.8,2,NaN,NaN,совмещенный,во двор,косметический,NaN,кирпичный,5,NaN,NaN,29 марта в 20:19,4550000
"Республика Бурятия, Улан-Удэ, ул. Рылеева, 3",Железнодорожный район,1,31,2,балкон,NaN,совмещенный,во двор,косметический,возможна ипотека,панельный,5,0,1969,29 марта в 10:12,4599000
"Республика Бурятия, Улан-Удэ, Ключевская ул., 100",Октябрьский район,2,45,3,балкон,2.5,раздельный,"на улицу, на солнечную сторону",косметический,NaN,панельный,5,NaN,1974,сегодня в 00:29,5650000
"Республика Бурятия, Улан-Удэ, 111-й мкр-н, 34",Октябрьский район,студия,25.4,4,NaN,NaN,совмещенный,во двор,косметический,возможна ипотека,кирпичный,5,0,NaN,27 марта в 20:57,3550000
"Республика Бурятия, Улан-Удэ, ул. Бабушкина, 7",Октябрьский район,3,55,4,балкон,2.6,совмещенный,на улицу,косметический,NaN,кирпичный,5,NaN,1962,22 марта в 10:40,6000000
"Республика Бурятия, Улан-Удэ, ул. Сахьяновой, 23В",Октябрьский район,2,45,4,балкон,2.8,совмещенный,на улицу,евро,NaN,кирпичный,9,NaN,NaN,17 марта в 16:23,7150000
"мкр. 148-А, стр. 2",Октябрьский район,1,39.4,16,балкон,2.8,совмещенный,"на улицу, на солнечную сторону",евро,возможна ипотека,монолитный,17,1,NaN,20 марта в 21:20,3000000
"Республика Бурятия, Улан-Удэ, пр-т 50 лет Октября, 34",Железнодорожный район,2,43,2,балкон,2.6,совмещенный,"во двор, на солнечную сторону",евро,возможна ипотека,кирпичный,5,NaN,1967,29 марта в 06:55,7169000
"Республика Бурятия, Улан-Удэ, Ключевская ул., 64А",Октябрьский район,1,35,2,балкон,280 м,совмещенный,"на улицу, на солнечную сторону",косметический,возможна ипотека,панельный,5,0,1986,25 марта в 17:31,4600000
